modelo,acc_val_final,acc_val_melhor
CNN_propria,0.7216113554578168,0.8561575369852059
resnet50_FE,0.9642143142742903,0.9642143142742903
resnet50_FT,0.9889044382247101,0.9911035585765694
efficientnet_b0_FE,0.9621151539384246,0.9621151539384246
efficientnet_b0_FT,0.9933026789284286,0.9933026789284286
mobilenet_v2_FE,0.9613154738104758,0.9627149140343862
mobilenet_v2_FT,0.9890043982407037,0.9909036385445822
ViT_B16_FE,0.9710115953618552,0.9710115953618552
